Lithuania,3,Light rain. Low clouds.,Vilnius Airport,"28 Nov 2024, 17:34:56","28 Nov 2024, 16:50",N/A,1015,93,2,24/12/2999
Luxembourg,7,Passing clouds.,Luxembourg Airport,"28 Nov 2024, 16:34:57","28 Nov 2024, 15:50",N/A,1027,66,1,24/12/2999
Madagascar,25,Broken clouds.,Antananarivo / Ivato,"28 Nov 2024, 18:34:57","28 Nov 2024, 18:00",N/A,1016,51,14,24/12/2999
Malawi,28,Broken clouds.,Lilongwe International Airport,"28 Nov 2024, 17:34:58","28 Nov 2024, 17:00",N/A,1015,48,16,24/12/2999
Malaysia,25,Light rain. Passing clouds.,Sultan Abdul Aziz Shah-Subang,"28 Nov 2024, 23:34:59","28 Nov 2024, 22:00",9,1011,94,24,24/12/2999
Maldives,30,Partly cloudy.,Male Airport,"28 Nov 2024, 20:34:59","28 Nov 2024, 20:00",N/A,1009,70,24,24/12/2999
Mali,33,Passing clouds.,Bamako / Senou,"28 Nov 2024, 15:35:00","28 Nov 2024, 14:30",N/A,1013,15,3,24/12/2999
Malta,21,Passing clouds.,Luqa,"28 Nov 2024, 16:35:00","28 Nov 2024, 15:45",N/A,1024,60,13,24/12/2999
Marshall Islands,29,Mostly cloudy.,Majuro Atoll,"29 Nov 2024, 03:35:00","29 Nov 2024, 01:52",24,1007,77,25,24/12/2999
Mauritius,25,Scattered clouds.,Vacoas (Mauritius),"28 Nov 2024, 19:35:01","28 Nov 2024, 16:00",25,N/A,64,17,24/12/2999
Mexico,12,Sunny.,Mexico City / Licenci,"28 Nov 2024, 09:35:03","28 Nov 2024, 08:46",11,1015,35,-3,24/12/2999
Micronesia,26,Sprinkles. Mostly cloudy.,Pohnpei,"29 Nov 2024, 02:35:03","29 Nov 2024, 00:55",21,1009,97,25,24/12/2999
Moldova,2,Clear.,Chisinau International Airport,"28 Nov 2024, 17:35:04","28 Nov 2024, 16:30",16,1024,87,0,24/12/2999
Monaco,15,Passing clouds.,Nice Airport,"28 Nov 2024, 16:35:04","28 Nov 2024, 16:00",N/A,1019,72,10,24/12/2999
Mongolia,-4,Passing clouds.,Ulan-Bator,"28 Nov 2024, 23:35:04","28 Nov 2024, 23:00",N/A,1019,74,-8,24/12/2999
Montenegro,13,Partly sunny.,Podgorica Titograd,"28 Nov 2024, 16:35:05","28 Nov 2024, 16:00",N/A,1024,82,10,24/12/2999
Montserrat,28,Scattered clouds.,Vc Bird International Antigua Airport,"28 Nov 2024, 11:35:05","28 Nov 2024, 10:00",N/A,1015,74,23,24/12/2999
Morocco,30,Clear.,Rabat-Sale,"28 Nov 2024, 16:35:05","28 Nov 2024, 16:00",6,1020,24,7,24/12/2999
Mozambique,25,Passing clouds.,Maputo / Mavalane,"28 Nov 2024, 17:35:06","28 Nov 2024, 17:00",N/A,1013,83,22,24/12/2999
Namibia,30,Pleasantly warm.,Windhoek,"28 Nov 2024, 17:35:07","28 Nov 2024, 14:00",N/A,N/A,9,-6,24/12/2999
Nepal,13,Passing clouds.,Kathmandu Airport,"28 Nov 2024, 21:20:07","28 Nov 2024, 20:45",7,1022,72,8,24/12/2999
Netherlands,8,Scattered clouds.,Amsterdam Schiphol Airport,"28 Nov 2024, 16:35:08","28 Nov 2024, 15:55",N/A,1028,71,3,24/12/2999
New Zealand,17,Overcast.,Wellington Airport,"29 Nov 2024, 04:35:08","29 Nov 2024, 04:00",N/A,1016,77,13,24/12/2999
Nicaragua,29,Passing clouds.,Managua A. C. Sandino,"28 Nov 2024, 09:35:09","28 Nov 2024, 09:00",N/A,1010,62,21,24/12/2999
Niger,30,Clear.,Niamey-Aero,"28 Nov 2024, 16:35:10","28 Nov 2024, 15:00",7,1014,17,2,24/12/2999
Niue,24,Light rain. Passing clouds.,Alofi / Niue,"28 Nov 2024, 04:35:10","28 Nov 2024, 04:00",N/A,1009,94,23,24/12/2999
North Korea,-2,Clear.,Pyongyang,"29 Nov 2024, 00:35:10","28 Nov 2024, 21:00",10,1014,76,-6,24/12/2999
North Macedonia,12,Sunny.,Skopje-Petrovec,"28 Nov 2024, 16:35:11","28 Nov 2024, 15:50",16,1023,67,6,24/12/2999
Norway,1,Passing clouds.,Oslo-Blindern,"28 Nov 2024, 16:35:11","28 Nov 2024, 13:00",65,1024,64,-5,24/12/2999
Oman,29,Warm.,Mina Sultan Qaboos,"28 Nov 2024, 19:35:12","28 Nov 2024, 18:00",N/A,1012,62,21,24/12/2999
Pakistan,20,Haze.,Islamabad Airport,"28 Nov 2024, 20:35:13","28 Nov 2024, 17:00",4,1016,35,3,24/12/2999
Palau,21,Passing clouds.,Babelthuap Island  Babelthuap/Koror Airport,"29 Nov 2024, 00:35:13","28 Nov 2024, 21:00",21,1008,100,21,24/12/2999
Panama,28,Scattered clouds.,Marcos A. Gelabert,"28 Nov 2024, 10:35:13","28 Nov 2024, 09:00",N/A,1011,79,24,24/12/2999
Papua New Guinea,28,Passing clouds.,Moresby,"29 Nov 2024, 01:35:14","29 Nov 2024, 00:00",N/A,1007,89,26,24/12/2999
Paraguay,35,Partly sunny.,Asuncion / Aeropuerto,"28 Nov 2024, 12:35:14","28 Nov 2024, 12:00",N/A,1004,56,25,24/12/2999
Peru,18,Low clouds.,Lima-Callao / Aerop. Internacional Jorgechavez,"28 Nov 2024, 10:35:14","28 Nov 2024, 04:00",10,1011,89,16,24/12/2999
Philippines,28,Overcast.,Science Garden,"28 Nov 2024, 23:35:15","28 Nov 2024, 20:00",7,1012,76,23,24/12/2999
Poland,5,Passing clouds.,Warsaw Okecie Airport,"28 Nov 2024, 16:35:15","28 Nov 2024, 16:00",N/A,1011,93,4,24/12/2999
Portugal,19,Passing clouds.,Lisbon Portela Airport,"28 Nov 2024, 15:35:16","28 Nov 2024, 14:30",N/A,1019,73,14,24/12/2999
Puerto Rico,31,Scattered clouds.,Luis Munoz Marin,"28 Nov 2024, 11:35:17","28 Nov 2024, 10:56",16,1015,67,24,24/12/2999
Qatar,21,Passing clouds.,Doha International Airport,"28 Nov 2024, 18:35:17","28 Nov 2024, 17:30",N/A,1017,64,14,24/12/2999
Réunion (French),25,Passing clouds.,Saint-Denis / Gillot,"28 Nov 2024, 19:35:17","28 Nov 2024, 19:00",N/A,1015,74,20,24/12/2999
Romania,7,Sunny.,Bucharest / Imh,"28 Nov 2024, 17:35:18","28 Nov 2024, 16:30",16,1024,76,3,24/12/2999
Russia,-1,Overcast.,Moskva,"28 Nov 2024, 18:35:19","28 Nov 2024, 15:00",13,1022,83,-4,24/12/2999
Rwanda,23,Scattered clouds.,Kigali Airport,"28 Nov 2024, 17:35:19","28 Nov 2024, 17:00",N/A,1019,65,16,24/12/2999
Saint Helena,19,Low clouds.,Saint Helena Island,"28 Nov 2024, 15:35:19","28 Nov 2024, 14:00",N/A,1018,80,15,24/12/2999
Saint Kitts and Nevis,30,Passing clouds.,Golden Rock,"28 Nov 2024, 11:35:20","28 Nov 2024, 11:00",N/A,1015,70,24,24/12/2999
Saint Lucia,25,Partly sunny.,Vigie,"28 Nov 2024, 11:35:20","28 Nov 2024, 10:00",N/A,1015,94,24,24/12/2999
Saint Vincent and Grenadines,31,Scattered clouds.,Hewanorra International Airport,"28 Nov 2024, 11:35:21","28 Nov 2024, 10:00",N/A,1014,75,26,24/12/2999
Samoa,26,Drizzle. Overcast.,Apia / Upolu Island,"29 Nov 2024, 04:35:21","29 Nov 2024, 01:00",20,1009,92,25,24/12/2999
San Marino,11,Partly sunny.,Rimini Airport,"28 Nov 2024, 16:35:21","28 Nov 2024, 15:50",7,1020,94,10,24/12/2999
Saudi Arabia,14,Clear.,King Khaled International Airport,"28 Nov 2024, 18:35:22","28 Nov 2024, 18:00",16,1022,36,-1,24/12/2999
Senegal,32,Passing clouds.,Dakar / Yoff,"28 Nov 2024, 15:35:22","28 Nov 2024, 14:00",N/A,1011,94,31,24/12/2999
Serbia,13,Fog.,Beograd,"28 Nov 2024, 16:35:23","28 Nov 2024, 13:00",3,1022,71,8,24/12/2999
Seychelles,28,Passing clouds.,National Airport,"28 Nov 2024, 19:35:23","28 Nov 2024, 19:00",N/A,1010,74,23,24/12/2999
Sierra Leone,30,Scattered clouds.,Lungi,"28 Nov 2024, 15:35:23","28 Nov 2024, 14:00",5,1009,70,24,24/12/2999
Singapore,25,Passing clouds.,Singapore / Paya Lebar,"28 Nov 2024, 23:35:24","28 Nov 2024, 23:00",N/A,1010,94,24,24/12/2999
Slovakia,8,Passing clouds.,Bratislava Ivanka,"28 Nov 2024, 16:35:24","28 Nov 2024, 16:00",N/A,1020,71,3,24/12/2999
Slovenia,11,Overcast.,Ljubljana / Bezigrad,"28 Nov 2024, 16:35:25","28 Nov 2024, 13:00",25,1020,75,7,24/12/2999
Solomon Islands,28,Haze.,Munda,"29 Nov 2024, 02:35:25","28 Nov 2024, 23:00",20,1010,85,25,24/12/2999
Solomon Islands,27,Passing clouds.,Honiara,"29 Nov 2024, 02:35:26","28 Nov 2024, 23:00",20,1010,84,24,24/12/2999
South Africa,26,Pleasantly warm.,Waterkloof Lmb,"28 Nov 2024, 17:35:26","28 Nov 2024, 16:00",N/A,1018,18,0,24/12/2999
South Korea,-1,Clear.,Seoul / Kimp'O International Airport,"29 Nov 2024, 00:35:26","28 Nov 2024, 23:00",16,1014,80,-4,24/12/2999
Spain,15,Passing clouds.,Madrid / Cuatro Vientos,"28 Nov 2024, 16:35:27","28 Nov 2024, 15:30",N/A,1026,59,7,24/12/2999
Sri Lanka,24,Overcast.,Katunayake,"28 Nov 2024, 21:05:28","28 Nov 2024, 19:40",6,1007,94,23,24/12/2999
Suriname,25,Fog.,Zorg En Hoop,"28 Nov 2024, 12:35:29","28 Nov 2024, 06:00",10,1010,93,24,24/12/2999
Sweden,2,Light rain. Passing clouds.,Stockholm Bromma Airport,"28 Nov 2024, 16:35:29","28 Nov 2024, 15:50",8,1021,93,1,24/12/2999
Switzerland,7,Drizzle. Partly sunny.,Bern / Belp,"28 Nov 2024, 16:35:30","28 Nov 2024, 15:50",N/A,1025,100,7,24/12/2999
Syria,13,Passing clouds.,Damascus Int. Airport,"28 Nov 2024, 18:35:30","28 Nov 2024, 18:00",N/A,1022,63,6,24/12/2999
Taiwan,14,Passing clouds.,Sungshan / Taipei,"28 Nov 2024, 23:35:31","28 Nov 2024, 22:30",N/A,1023,82,11,24/12/2999
Tajikistan,14,Clear.,Dushanbe Airport,"28 Nov 2024, 20:35:31","28 Nov 2024, 19:30",6,1014,39,0,24/12/2999
Tanzania,34,Passing clouds.,Dodoma Airport,"28 Nov 2024, 18:35:32","28 Nov 2024, 17:00",N/A,1012,26,12,24/12/2999
Thailand,28,Passing clouds.,Don Muang Airport,"28 Nov 2024, 22:35:33","28 Nov 2024, 21:30",N/A,1014,58,19,24/12/2999
Togo,32,Passing clouds.,Lome Airport,"28 Nov 2024, 15:35:33","28 Nov 2024, 14:00",N/A,1010,59,23,24/12/2999
Tonga,24,Passing clouds.,Fua'Amotu,"29 Nov 2024, 04:35:34","29 Nov 2024, 04:00",N/A,1011,94,23,24/12/2999
Trinidad and Tobago,31,Scattered showers. Scattered clouds.,Piarco International Airport - Trinidad,"28 Nov 2024, 11:35:34","28 Nov 2024, 10:00",N/A,1013,79,27,24/12/2999
Tunisia,22,Scattered clouds.,Tunis-Carthage,"28 Nov 2024, 16:35:35","28 Nov 2024, 15:30",N/A,1023,65,15,24/12/2999
Turkey,4,Mostly cloudy.,Ankara / Guvercin Lik,"28 Nov 2024, 18:35:37","28 Nov 2024, 16:50",6,1026,87,2,24/12/2999
Turkmenistan,11,Mostly cloudy.,Ashgabat,"28 Nov 2024, 20:35:37","28 Nov 2024, 19:00",N/A,1017,82,8,24/12/2999
Tuvalu,27,Passing clouds.,Funafuti,"29 Nov 2024, 03:35:38","29 Nov 2024, 03:00",N/A,1006,89,25,24/12/2999
Uganda,22,Overcast.,Kampala,"28 Nov 2024, 18:35:38","28 Nov 2024, 12:00",6,N/A,79,18,24/12/2999
Ukraine,3,Fog.,Kyiv,"28 Nov 2024, 17:35:39","28 Nov 2024, 14:00",2,1025,88,1,24/12/2999
United Arab Emirates,27,Passing clouds.,Abu Dhabi Bateen Airport,"28 Nov 2024, 19:35:40","28 Nov 2024, 19:00",N/A,1015,70,21,24/12/2999
United Kingdom,8,Sunny.,Northolt,"28 Nov 2024, 15:35:40","28 Nov 2024, 14:50",16,1028,71,3,24/12/2999
Uruguay,25,Partly sunny.,Melilla,"28 Nov 2024, 12:35:41","28 Nov 2024, 12:00",N/A,1011,61,17,24/12/2999
USA,12,Light rain. Low clouds.,Reagan National Airport,"28 Nov 2024, 10:35:41","28 Nov 2024, 09:52",11,1001,86,10,24/12/2999
Uzbekistan,13,Clear.,Tashkent,"28 Nov 2024, 20:35:41","28 Nov 2024, 19:30",3,1012,51,3,24/12/2999
Vanuatu,25,Mostly cloudy.,Bauerfield Efate,"29 Nov 2024, 02:35:42","29 Nov 2024, 01:00",N/A,1010,94,24,24/12/2999
Vatican City State,20,Scattered clouds.,Rome Urbe Airport,"28 Nov 2024, 16:35:42","28 Nov 2024, 14:50",N/A,1022,64,13,24/12/2999
Venezuela,32,Scattered clouds.,Caracas / Maiquetia Aerop. Intl. Simon Bolivar,"28 Nov 2024, 11:35:43","28 Nov 2024, 11:00",N/A,1012,71,26,24/12/2999
Vietnam,19,Clear.,Ha Noi Airport,"28 Nov 2024, 22:35:43","28 Nov 2024, 21:30",16,1025,56,10,24/12/2999
